text,emotion,category
"Взагалі незрозуміло коли вони працюють. Коли не прийду в них заміновано. Якщо так, то по правилах має бути викликана група і всі евакуйовані з приміщення. Такі елементарні речі розповідають зі школи, тим більше в наш час.
До 13 мінування, потім з 13 до 14 обід. Коли можна прийти щоб потрапити?",Anger,Complaint / Dissatisfaction
"Дякую за навчання.Гарна автошкола, пояснють по факту, все чітко, коротко. Я дуже задоволена.",Happiness,Gratitude / Positive Feedback
"Поясніть, будь ласка, це усе можна зробити за допомогою лише однієї дії чи потрібно відвідувати будь-які органи?",Neutral,Question / Request for Help
"Доброго дня. Менi подобаеться, як викладають. Моя сестра в цiй академii займаеться 5 рокiв i вже може робити макети, як моя Мама дизайнер.",Happiness,Gratitude / Positive Feedback
поїхав 8 лютого з Палія на Арену Львів. Чекали на транспорт 30 хв. Стягується 240 грн. Для порівняння: з іншою службою таксі повернули за 90 грн. А також наступного дня за тим же маршрутом: 75 та 80 грн до/з Арени Львів відповідно.,Anger,Complaint / Dissatisfaction
"Садиба сім’ї Яхненків-Симиренків на Платоновому хуторі в Млієві заснована в сер. XIX ст. підприємцем П. Симиренком, сином багатого купця Ф. Симиренка, який був родом з Городища.…",Neutral,Neutral Comment
Була на консультації у Валерії Юріївни. Отримала відповіді на всі питання які мене цікавили по мобілізації мого чоловіка. Справді кваліфікований та приємний у спілкуванні юрист. Дуже вдячна за допомогу. Рекомендую для отримання професійної та компетентної консультації. Буду звертатися і надалі за потреби.,Happiness,Gratitude / Positive Feedback
"Був на консультації у Валерії Олексіївни
Надана кваліфікована допомога
Рекомендую",Happiness,Gratitude / Positive Feedback
"Навчаюся на кафедрі народної хореографії. Все влаштовує, цікаво вчитись. Викладачі уважні, чуйні, добрі. Багато практик. Єдине, що не влаштовує, то це роздягальні. Дуже мало місця для таких великих курсів. Оновили балетні класи та спортзал.…",Happiness,Complaint / Dissatisfaction
"Приємна атмосфера, швидка електронна черга. З персоналом є деякі проблеми.",Sadness,Complaint / Dissatisfaction
"Компанія dezcentr pro проводили дезінсекцію квартири від тарганів.
Роботу було проведено високоякісно.
Будемо й надалі звертатися до цієї служби.
Рекомендую.",Happiness,Gratitude / Positive Feedback
"Гарна будівля, поруч гарний майданчик для дітей та веркауту!",Happiness,Gratitude / Positive Feedback
"Хочу подякувати всім працівникам сервісного центру Переяслава) дуже привітні, комфортна атмосфера. Можна перечекати свою чергу як всередині, так і на вулиці, є лавочки.…",Happiness,Gratitude / Positive Feedback
"Поки що не вчинив, але подобається

Upd. Юхууу! Надійшов на бюджет на 185 спеціальність нафтогазова інженерія 😎…",Happiness,Gratitude / Positive Feedback
Велике спасибі за виконану роботу. Особливо вдячний Ірині за терпіння та ввічливе ставлення! Здоров'я! Процвітання,Happiness,Gratitude / Positive Feedback
"Університет непоганий, але має зараз серйозні проблеми",Sadness,Complaint / Dissatisfaction
"Безперечно, будівля університету гарна та архітектура захоплює, але все враження зіпсувало те, що за вхід до ДЕРЖАВНОГО університету потрібно заплатити 15 грн (через термінал), до того ж із собою була лише готівка, яка не приймається. 15…",Anger,Complaint / Dissatisfaction
Ключі виготовили швидко та якісно! Обслуговування чудове і ціни приємні) Рекомендую!,Happiness,Gratitude / Positive Feedback
"Багато обіцяли в результаті, що бачимо. На заводах копійки, аптека теж не балує.
У гуртожитку коли вчився був свавілля, дівчата поводилися дуже неналежно.",Anger,Complaint / Dissatisfaction
"Дуже дякую Станіславу Васильовичу, на всі мої питання при консультації були розгорнуті і зрозумілі для мене відповіді! Рекомендую!",Happiness,Gratitude / Positive Feedback
"Біля центру, поруч і навколо торгові магазини і рай.ринок, чиста територія, зручне паркування, ввічливий компетентний персонал, отримав масу задоволення та корисну інформацію питання, що цікавить !!!",Happiness,Gratitude / Positive Feedback
"Гарний універ, їжа теж непогана та ліфти робітники.",Happiness,Gratitude / Positive Feedback
"Здавав тут на водійське посвідчення категорії B, до цього побував у всіх тсц Києва.
З того, що помічаєш одразу - доброзичливий персонал, на рівень вище київського.…",Happiness,Gratitude / Positive Feedback
"Щиро вдячний судді Белені Альберт , за професійний  розгляд адмінсправи  та чесне справедливе рішення .",Happiness,Gratitude / Positive Feedback
"Звертався до ЦПД Черкаси.
Дякую супер юристу Олександру Павловичу за юридичну допомогу!",Happiness,Gratitude / Positive Feedback
"Хотів би розповісти про шановну суддю Штих! Банальну малозначну справу ця суддя слухала понад рік. Не було жодного засідання, яке пройшло б вчасно. Увесь час суддя спізнюється і постійно затримує людей, причому тривалий час! У суді робочий…",Anger,Complaint / Dissatisfaction
"Відвідування Комп'ютерної академії КРОК стало для мене та моєї дитини справжнім відкриттям. З самого початку нас вразила якість навчання та індивідуальний підхід до кожного учня. Викладачі професіонали своєї справи, вони не лише передають…",Happiness,Gratitude / Positive Feedback
"Обслуговування на вищому рівні, ДЯКУЄМО!!!❤️
Питання вирішили максимально швидко, своєчасне інформування про хід рішення.
Водичка в куллері є, дитячий куточок і туалет.…",Happiness,Gratitude / Positive Feedback
Сучасний заклад освіти з професійними викладачами та сучасним підходом до освіти. Дає змогу зростати професійно.,Happiness,Gratitude / Positive Feedback
Була на консультації у Валерії Юріївни.Наданою допомогою задоволена,Happiness,Gratitude / Positive Feedback
"Як завжди скрізь є свої плюси та мінуси, але я з упевненістю можу сказати, що це місце варте того, щоб бути, стати чи хотіти стати його частиною.
Плюси: Висока якість подачі інформації. Хотілося б відзначити, що радує -…",Happiness,Gratitude / Positive Feedback
4 роки відучився і ні про що не шкодую. Виклади хороші та адекватні.,Happiness,Gratitude / Positive Feedback
"Моїй дитині подобається читати.
Вибір книжок великий,на різну тематику.
Дякуємо за вашу працю.",Happiness,Gratitude / Positive Feedback
"Дякую за швидке вирішення мого питання! Звернувся за оцінкою гаража, зробили всі документи швидко та вигідно.",Happiness,Gratitude / Positive Feedback
Рекомендую юриста Олександра Павловича за надану консультацію,Happiness,Gratitude / Positive Feedback
"Не скажу, що там працюють погано
Але все дуууже довго. Стояла 4 години у черзі на вулиці
Нема терміналів на столах, все вручну вводити і пересилати квитанції на пошту - це вже трохи застаріло і забирає чимало часу",Anger,Complaint / Dissatisfaction
"Я займаюся в Комп'ютерній академії ""КРОК"" з вересня 2020 року. Іду на заняття з радістю. В академії ""КРОК"" сучасне обладнання та новітні програми, комфортні аудиторії. Дуже хороший педагог – Балагура Юлія Євгенівна, уважна до кожного учня,…",Happiness,Gratitude / Positive Feedback
Звертаюся за консультацією вже не вперше. Як завжди отримали докладну інформацію та допомогу у вирішенні питання. Дуже дякую за Вашу роботу.,Happiness,Gratitude / Positive Feedback
"Після телефонного дзвінку залишилось відчуття, що я зателефонувала працівнику на особистий телефон вночі. Розлючений голос і не бажання надати інформацію в спокійному тоні.",Anger,Complaint / Dissatisfaction
"Здрастє. Крутяк. Рекомендую
Враження просто🔥💥
363 сходинки. Сили вам у ваші ноги😊😉…",Happiness,Gratitude / Positive Feedback
"Майже рік  розглядають справу про розлучення,  на дзвінки і скарги невідповідають....",Anger,Complaint / Dissatisfaction
"Дякую дівчині-інспектору, яка видавали довідки, чемно і з розумінням поставилися до моїх питань",Happiness,Gratitude / Positive Feedback
Дуже гарна будівля. Перлина архітектури Чернівців. Будівля в ідеальному стані,Happiness,Gratitude / Positive Feedback
"Яка громада? Якщо Сумська - всі ті самі дії, що і при пошкодженнях.",Neutral,Question / Request for Help
"у цій академії вас навчать різного, програмування тощо. А найголовніше ви вивчите такі мови як пайтон, штмл, с#, с++. Рекомендую всім!",Happiness,Gratitude / Positive Feedback
"Не знають, що оформлення декретних для ФОП не в Раді безпеки (а в соціальному страху), ви ж таким не займаєтеся, як можна цього не знати. Тільки з 4 рази мені пояснили, що мені не сюди потрібно, звідки про це може знати людина, яка…",Anger,Complaint / Dissatisfaction
Дуже професійно виришиле моє питання з приводу банківських переказів та фін моніторінгу. Приємно спілкуватися зі справжніми фахівцями!,Happiness,Gratitude / Positive Feedback
Дуже подобається професіоналізм викладачів. Доступно і зрозуміло викладається матеріал. Дитина ходить на заняття завжди із задоволенням.,Happiness,Gratitude / Positive Feedback
"Дуже гарна споруда, цікава архітектура. Цікавий візерунок на черепиці, просторі зали всередині, довгі коридори!",Happiness,Gratitude / Positive Feedback
Дуже гарне місце. Неодмінно всім потрібно побувати тут. Вхід 50грн.,Happiness,Gratitude / Positive Feedback
"Дякую роботі спеціалістів відділу реєстрації, за чуйність і розуміння. Ви мене врятували!!! Так, прийшлось довго чекати- так як серени, але роботу свою дівчата знають і виконають на совість!!!! Побільше б нам таких компетентних працівників в урядових установах.",Happiness,Gratitude / Positive Feedback
ось найгірша з усіх академій porlor aorporaaop paorap olparor aporolar apoorppagš raoo avparroarp apraoorp avproanrp aoraia apoaoarorp poperer apotrpo,Anger,Complaint / Dissatisfaction
Сергій Шульга дуже привітний і готовий допомогти не дивлячись на складні умови (довготривалу тривогу). Дякую.,Happiness,Gratitude / Positive Feedback
Хороше ставлення співробітників та приємна атмосфера,Happiness,Gratitude / Positive Feedback
"Навчаюся на 4-му курсі на механіка. За 4 роки ми пройшли багато цікавих практик, а також отримали хорошу теорію на парах.",Happiness,Gratitude / Positive Feedback
Це місце я відвідую  уже 4 раз і кожного разу милуюсь наче вперше. Однозначно перлина Буковини та України 🥰…,Happiness,Gratitude / Positive Feedback
"Зовсім не потрібний орган, що він робить - таємниця велика є навіть для чиновників, які там працюють. А районні архітектори – це взагалі сплав грубості, хамства та не компетентності. При цьому відмінної думки про себе. Була б воля народу – просто розігнали б цих чинуш, ніхто б і не помітив втрати.",Anger,Complaint / Dissatisfaction
"Півтора місяці тому почала пошук навчання інтернет-маркетингу, другим у списку виявився Крок. персоналу вкрай низькі комунікативні навички. Співбесіда ніде не фіксується (а може це маркетинговий хід). Потім ще 8 запрошень висловити договір.…",Anger,Complaint / Dissatisfaction
"У мене вже друга дитина навчається у ""Кроку"". Цікава програма, уважний викладач. У школі під час уроків інформатики син відверто сумує. Рекомендую",Happiness,Gratitude / Positive Feedback
"Наталіє, якщо у людини немає можливості авторизуватись у застосунку Дія, радимо очікувати на запуск послуги офлайн.",Neutral,Suggestion / Idea
"10 місць у Києві, де можна зайнятися сексом.  Розваги більшості киян закінчуються на заїжджених кав'ярнях та попсових кінотеатрах.   Але мало хто знає, що у столиці повно незвичайних та розпусних способів провести дозвілля так, що запам’ятаєш на все життя, а найгарячіші з них знаходить:  📍Київський Аффішер  Ресторани формату «для дорослих», басейни та СПА де можна купатися повністю голим, та БДСМ готелі з неймовірними видами – Не спробувати ти завжди встигнеш: https://t.me",Surprise,Suggestion / Idea
Невдале місце для пенсійного фонду. Далеко зупинки громадського транспорту.,Anger,Complaint / Dissatisfaction
"Була на консультації у Валерії Юріївни,задоволена на всі 100%!дякую за допомогу.",Happiness,Gratitude / Positive Feedback
"Доброго дня.
Академія КРОК, а також літній табір, який організований там – чудова освітня платформа для дітей та підлітків. Команда професіоналів розробила спеціальні…",Happiness,Gratitude / Positive Feedback
"Адміністратори дуже добрі. Чемні, все пояснять дохідливо.",Happiness,Gratitude / Positive Feedback
👍👍👍 Все дуже добре і мені подобаєтся вчитися у цій школі…,Happiness,Gratitude / Positive Feedback
Нема отеплення другий день. Нічого не хочуть вирішувати та навіть прийняти заявку. Нікому не раджу співпрацювати із цією компанією.,Anger,Complaint / Dissatisfaction
"Приємні дівчата, на телефонний дзвінок відповіли ввічливо та виклали повну інформацію!",Happiness,Gratitude / Positive Feedback
Подавала документи. Всім задоволена. Сервіс гарний.,Happiness,Gratitude / Positive Feedback
Ужас а не рагс Пропоную закрити цю установу взагалі і вигнати всіх працівників!!!!!!!!!!,Anger,Complaint / Dissatisfaction
"Чудовий університет.
Викладачі супер.
Рекомендую всім.",Happiness,Gratitude / Positive Feedback
Обробка пройшла успішно та швидко. Дякую. Рекомендую,Happiness,Gratitude / Positive Feedback
"мені довподоби саме наше відділення,там навіть люди! є. і розкажуть і порадять і просто хоча б не хами,як у всіх подібних закладах.
можна б було і далі там обсуговуватися, але держава геть податками обліпила...
а ще вай-фай там не ловить:(",Sadness,Complaint / Dissatisfaction
"Що можу сказати завжди все під час на своєму робочому місці, ставлення до народу номер 1 в Україні!!",Happiness,Gratitude / Positive Feedback
Потрібна кафешка або їдальня) І вказівники яскравіші),Neutral,Suggestion / Idea
"Я з Харківської обл, треба було вклеїти фото в паспорт, думала, відмовлять і заставлять міняти на пластик, але ж ні, мило прийняли, вся процедура подачі зайняла максимум 15 хвилин. Через три дні достала смс, що паспорт готовий і можна…",Happiness,Gratitude / Positive Feedback
"Дуже вдячний відділу по роботі з нерухомістю. Кваліфіковано та швидко виконали свою роботу. Молодці, так тримати. Слава Україні.",Happiness,Gratitude / Positive Feedback
"Гарний рівень сервісу, добрий персонал. Прийняли оперативно та обслужили якісно!",Happiness,Gratitude / Positive Feedback
"Ходила на курси у 2018-2019 на підготовку до ЗНО. Хочу висловити величезну подяку Тетяні Миколаївні, Інні Володимирівні, Тетяні Анатоліївні та Наталі Сергіївні! Ви дали мені більше знань, ніж мої екс-вчителі.…",Happiness,Gratitude / Positive Feedback
"Найкраще місце для навчання, високопрофесійна підготовка !

Я 7 років тут навчаюсь , хабарництва немає!",Happiness,Gratitude / Positive Feedback
"Не в перше звертаюсь до вас за послугами . І вже вкотре потрапляю на одну і ту ж ""леді привітність""   це ж треба так ненавидіти свою роботу , що всі мають на собі це відчути.  Попустіться трошки , почитайте корисну літературу , як потрібно розмовляти з людьми.  А ще, обслуговування російською мовою.",Anger,Complaint / Dissatisfaction
"18:30 магазин закритий.
То змініть інформацію про графік роботи. Їхав через ціле місто, бо ви не можете змінити інформацію.",Anger,Complaint / Dissatisfaction
Доброго ранку. 18.04.2025 року я здавала практичний іспит   категорія В. Моі враження чудові. Дякую вам за Вашу роботу. Успіхів Вам !!!,Happiness,Gratitude / Positive Feedback
"Жахи, жах із приводу обслуговування, бо навіщо тоді електронний кабінет, підпис. І все інше для того, щоб вирішувати ці питання, особливо коли тобі говорять після питання чому не заходять до електронного кабінету, вона відповіла тому що! Це як розуміти!",Anger,Complaint / Dissatisfaction
"Адвокат Віктор Дубінський бере гроші і не виконує свою роботу, погрожує, бере хабарі. Не рекомендую мати з ним справу.",Anger,Complaint / Dissatisfaction
"Складала в цьому сервісному центрі практичний іспит на механічній коробці передач,дуже приємне обслуговування,окремо хочу виділити екзаменатора Тарнопольського Олександра,дуже приємний,ввічливий та має високий рівень професіоналізму",Happiness,Gratitude / Positive Feedback
Дуже добра консультація по телефону в вихідний день! Дякую вам.,Happiness,Gratitude / Positive Feedback
"Хочу висловити величезну подяку оператору Лисенка Анастасії за оформлення документів на отримання закордонного паспорта для мене та дитини. Дякуємо за розуміння, витримку та відмінне виконання своїх обов'язків навіть за відволікаючих…",Happiness,Gratitude / Positive Feedback
Дуже вдячний за допомогу. Ви найкращі так тримати...,Happiness,Gratitude / Positive Feedback
"Адвокат молодець, відбив мене від бусика з тцьк
Всім раджу!",Happiness,Gratitude / Positive Feedback
"Це дійсно унікально - жива черга за талончиками в чергу електронну) казала співробітниця, що причина цього дивного явища - зламаний апарат з талонами, з перебитим кабелем, який може видавати тільки по 3 талони (!!!!). А якщо покликати…",Neutral,Complaint / Dissatisfaction
"Набагато простіше взяти талончик на здачу практичного іспиту, ніж в Києві)",Neutral,Neutral Comment
"Чи є актуальний номер? Той, що вказаний - «номер не обслуговується»",Neutral,Question / Request for Help
Нещодавно скористався послугами дозвільного відділу.  Все сподобалось. Співробітники компетентні та ввічливі.,Happiness,Gratitude / Positive Feedback
"Не перший раз стикаюсь з жахливим ставленням охоронців до військових та їх дружин!
Вдова полеглого героя хотіла повторити фото, яке робила до війни з чоловіком в…",Anger,Complaint / Dissatisfaction
"Якщо ми не встигли вступити в права  після смерті родителей, заяву писали у нотаріуса, наслідників окрім мене, містер та брата немає. Потім треба було їхати до нотаріуса 25.02.22...",Sadness,Question / Request for Help
"Жах цілий місяць не можу забрати довідку, на дзвінки не відповідають, ніхто не виходить.",Anger,Complaint / Dissatisfaction
"Нещодавно розпочав навчання у Комп'ютерній Агадемії Крок. Вирішив набути додаткових навичок, пов'язаних з моєю справжньою діяльністю. Дуже подобається те, як подається інформація, як проводяться лекції та практичні заняття. Можу сміливо…",Happiness,Gratitude / Positive Feedback
"Гарний ремонт, доглянута будівля, приємний персонал, видно, що люди працюють, по селу видно, що є зміни.",Happiness,Gratitude / Positive Feedback
"Чудовий готель для тварин. Спокійно відпочивали, знаючи, що собака в надійних руках.",Happiness,Gratitude / Positive Feedback
"Здав паспорт на вклейку фото. Обіцяли відправити смс, коли забирати. Пройшов місяць-ні відповіді ні привіту. Дзвоню - автовідповідач каже - чекайте, всі оператори зайняті. Не дочекався. Приїхав людей дуже мало, зачекав три хвилини і отримав свій паспорт. Напевно, у них гроші на СМСки закінчилися...",Anger,Complaint / Dissatisfaction
"Після стресу, перенесеного декількома складаннями в Києві, від даного сервісного центру найкращі враження! Все вчасно, чітко, за талоном, дуже привітний персонал, і складання було максимально комфортним. Також здивувало швидке отримання водійського посвідчення. Дуже рекомендую, приїжджати складати саме в даний ТСЦ!",Happiness,Gratitude / Positive Feedback
"Теж потрапив до Наталі Миколаївни, справді людина професіонал.",Happiness,Gratitude / Positive Feedback
"Цікава експозиція, приємні працівники,  одразу видно, що в музей вклали душу. Дуже гарний вид з вежі на площу і замок",Happiness,Gratitude / Positive Feedback
"Вступив на ПУА гірше факультету бути і не могло, через тиждень перевівся на ІСТ, хороші викладачі, легко у навчанні, з'явився вільний час, зростання як особистості, рекомендую вступати на ІСТ",Happiness,Gratitude / Positive Feedback
"Доброго ранку. Мій син Бездітко Олексій навчається в академії вже три тижні. Враження дуже хороші. Все подобається, підхід до студентів, програма навчання. Викладач у нас також дуже хороша. Що ще можна сказати про академію? У приміщенні…",Happiness,Gratitude / Positive Feedback
"Постійно нараховують податок на продане майно, або двічі на одне й теж, щороку приношу документи, виправляють вручну і на наступний рік знову все повторюється. У цьому році вже попасти в кабінет не можна, додзвонитись не можна, на письмове звернення відповіді не має три місяці.",Anger,Complaint / Dissatisfaction
"Коледж дає високий рівень знань!!!
Викладачі професіонали своєї справи!!!",Happiness,Gratitude / Positive Feedback
Я звернувся до Центру правової допомоги з питання військового права . На консультації з Валерією  Павлівною узгодили варіанти вирішення справи . Надання документів до ТЦК та СП проводилось разом з адвокатом Володимиром Вікторовичем . Через місяць я отримав позитивний результат .  Дякую за допомогу !,Happiness,Gratitude / Positive Feedback
Сьогодні завітав у Переяслав Хмельницький у сервісний центр МВС 3248 сюди по назначений годині (попередньо зареєструвався по телефону) але як бачу ще (рішали) процвітають... Заходять братки без черги вирішують свої справи без черги... Людей…,Anger,Complaint / Dissatisfaction
Звернувся до АОʼʼБачинський та партнериʼʼ вперше але не скільки не пошкодував.Вирішили моє питання дуже швидко.Все відбувалося на високому професійному рівні.Дуже вдячний вашій компанії,Happiness,Gratitude / Positive Feedback
"Подання заявки зайняло 15 хв. Без черг, сервіс на найвищому рівні.",Happiness,Gratitude / Positive Feedback
"Навчаюся в академії КРОК вже давно, ходила на різні курси, з лютого цього року почала проходити курс веб-дизайну і мені дуже подобається цьому навчатися. Спочатку не замислювалася, що так серйозно почну займатися, але з першого ж заняття…",Happiness,Gratitude / Positive Feedback
"Недоліки цього відділення:
1.Дата в терміналі у форматі цифр ще й без підпису де день, де місяць де рік. Важко було зробити графічне меню з вибором…",Anger,Complaint / Dissatisfaction
"Була у Романа Володимировича, по сімейному питанню ,дякую за консультацію.",Happiness,Gratitude / Positive Feedback
"Даремна трата вашого життя, ніколи чуєте ніколи не підписуйте своїх дітей на цей двіж",Anger,Complaint / Dissatisfaction
"Затишно і по-людяному, дуже приємний персонал, ввічливі всі, приємно коли отримуєш державні послуги в такій атмосфері. Скрізь чистота і порядок.
Дякую",Happiness,Gratitude / Positive Feedback
Дуже добре і ввічливо обслужили! Сервісом задоволений,Happiness,Gratitude / Positive Feedback
"Користуюсь послугами цієї компанії протягом кількох років уже кілька разів
і приємно здивована, що з роками якість, оперативність і відмінне ставлення до клієнтів на тому ж високому рівні.",Happiness,Gratitude / Positive Feedback
"Хороший навчальний заклад. Знання отримати реально, якщо дійсно прикласти зусилля. Викладацький колектив хороший.",Happiness,Gratitude / Positive Feedback
"Це місце просто марна трата часу. Талон взяла за два дні, прийшла з двома дітьми, чекала для оформлення закордонних паспортів. Але потім як виявилось що це не в їхньому приміщенні, а вхід з Благовісної, але чомусь про це ніде не вказано.…",Anger,Complaint / Dissatisfaction
"Пройшла інтенсивність «Ораторське+Акторське». Здобула масу позитивних вражень, неймовірних відкриттів та корисних навичок.
Кожне заняття - вихід із зони комфорту і те, що на одному занятті здається…",Happiness,Gratitude / Positive Feedback
"Намагався додзвонитися все безуспішно. Дзвонив на всі номери, які тільки були вказані і ніхто не відповідає.",Anger,Complaint / Dissatisfaction
З висоти Ратуші можна споглядати прекрасний краєвид Львова ))) Будучи у Львові неодмінно треба піднятись Ратушою вверх ))),Happiness,Suggestion / Idea
Чи музей залежить від твоїх бажань та докладених зусиль?,Neutral,Question / Request for Help
"Дякую за те, що в нашому навчальному закладі, дуже гарні і щирі викладачі які завжди підтримають і допоможуть.",Happiness,Gratitude / Positive Feedback
"Одне з найкращих мед. училищ, приїжджають багато охочих з усієї округи.",Happiness,Gratitude / Positive Feedback
"Скінчені, просто скінчені, нічого не роблять, гроші справно збирають.",Anger,Complaint / Dissatisfaction
"Хороший університет якщо хочеш вчитися, факультет ЕІ супер та викладачі та ремонт гуртожитку прийняті для життя",Happiness,Gratitude / Positive Feedback
"Ходжу до вас із 5 класу. Закінчила Малу Академію, яка допомогла мені визначитися з майбутнім – програмістом. У результаті вступила на програміста в 9 класі, але не закінчила, оскільки перейшла в університет крок.…",Neutral,Neutral Comment
"Як діти ходили в дитячий садок, такий ремонт і залишився",Sadness,Complaint / Dissatisfaction
"Номер телефону недійсний,  додзвонитися не можливо взагалі",Anger,Complaint / Dissatisfaction
"Дуже приємний колектив. Майстри знають свою справу, відповідально ставляться до роботи 👌🏻…",Happiness,Gratitude / Positive Feedback
"Я зареєструвався в цьому університеті та отримав від них лист із запрошенням, але отримав відмову, коли подав заявку на візу. Я зв’язався з університетом, щоб отримати допомогу, але ніхто мені не відповів. Ви так ставитеся до власних учнів?",Anger,Complaint / Dissatisfaction
"Музей у вежі просто вражає! Пізнавально і з інтерактивами! Особливо вразили телефони, в яких можна почути голоси Шептицького, Цісаря, Бандери та Чорновола. Експозиція дуже динамічна і хочеться вивчити кожний куточок музею. Також вражає вид…",Happiness,Gratitude / Positive Feedback
"Сьогодні робив тату у vean так як це було перше тату завжди страшно але з таким персоналом страшно не буде дуже  приємні люди , зробили все ідеально ☺💗…",Happiness,Gratitude / Positive Feedback
"Водійську мед. довідку оформив за 5 хвилин, але ще 5 хвилин довелося постояти в черзі. Для оформлення потрібен паспорт та дві фотографії 3*4. Вартість послуги 205 грн.",Neutral,Neutral Comment
"Чудовий сервіс, працюють справді професіонали своєї справи.",Happiness,Gratitude / Positive Feedback
"Відмовили у притулку бездомної кішки.
Мені теж хотілося б дізнатися про причину відмови.",Sadness,Complaint / Dissatisfaction
"Місце з безумовно теплою атмосферою, хто колись навчався той зрозуміє про що я.",Happiness,Gratitude / Positive Feedback
"Гарна робота по експертизі, я задоволена вашою роботою і не пожалкувала оплати, це дійсно вигідніше потім у страховій",Happiness,Gratitude / Positive Feedback
"Просто неймовірні враження від обслуговування в приміщенні ратуші🔥
Дуже дякуємо, приємному чоловіку, з вашим аудіогідом було дуже цікаво та пізнавально👍…",Happiness,Gratitude / Positive Feedback
Величезна подяка від всієї родини Олександру та його команді за професійно виконану роботу та відмінний результат у безнадійній ситуації. Рекомендуємо всім найкращого адвоката міста Олександра та його команду.,Happiness,Gratitude / Positive Feedback
"Працюють для людей, завжди допомагають у всьому. Дякую величезне!",Happiness,Gratitude / Positive Feedback
"Робили проколи мочок вушок донці (10р) у майстрині - Крістіни. Вона швидко знайшла підхід до дитини, дуже по-доброму спілкувалася з нею і все пояснювала, щоб розвіяти сумніви і страхи. Під час проколу у донечки був лише невеликий кискомфорт. Вона дуже задоволена. Вушка загоюються добре. Тож сміливо можемо рекомендувати.",Happiness,Gratitude / Positive Feedback
"Добрий день,
Здавала теоретичний та практичний іспит в СЦ 3248.
Сервісний центр не великий, але затишний)…",Happiness,Gratitude / Positive Feedback
"Чудові спеціалісти які знають свою справу, все пояснюють та допомагають
Були в Олександра Павловича",Happiness,Gratitude / Positive Feedback
"Щиро дякую всій команді адвокатської контори ""Бюро наследства и недвижимости"", особливо адвокату Задерей Олександру Віталійовичу, який допоміг оформити спадок на квартиру,  де було багато складних ньюансів з документами. Олександр-справжній…",Happiness,Gratitude / Positive Feedback
"Блискучі сходи, які ніколи не закінчуються, і серце дзвоника варті уваги!",Happiness,Gratitude / Positive Feedback
Робили обмін паспорта. Робітники просто неймовірні. Була проблема так вони зробили все Аби  її вирішити. Величезне дякую.,Happiness,Gratitude / Positive Feedback
